abr,nr,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31
And,20,116584,116805,116631,113726,116631,1473,3092,677,3092,3031,3693,3031,3092,5447,9640,5447,7607,5447,4436,3881,,,,,,,,,,,
Ant,4,53502,51172,47758,46515,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aps,4,72370,80047,81065,81852,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aql,12,98036,97649,97278,95501,93747,95501,97804,99473,97804,95501,93805,93429,,,,,,,,,,,,,,,,,,,
Aqr,15,114341,114855,114724,111497,110395,112961,113136,112961,110395,110003,109139,110003,110395,109074,106278,,,,,,,,,,,,,,,,
Ara,11,88714,85792,85258,85267,85727,85267,83081,82363,83081,83153,85792,,,,,,,,,,,,,,,,,,,,
Ari,5,14838,13209,9884,8903,8832,,,,,,,,,,,,,,,,,,,,,,,,,,
Aur,9,24608,28360,28380,25428,23015,23453,23767,23416,24608,,,,,,,,,,,,,,,,,,,,,,
Boo,10,71075,71053,69673,74666,73555,71075,69732,70497,69483,69732,,,,,,,,,,,,,,,,,,,,,
CMa,15,33347,33160,34045,33347,32349,30324,31592,33152,33579,33856,34444,35904,34444,33977,32349,,,,,,,,,,,,,,,,
CMi,2,37279,36188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVn,2,63125,61317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cae,3,21060,21770,21861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam,7,16281,16228,17884,17959,22783,23522,23040,,,,,,,,,,,,,,,,,,,,,,,,
Cap,11,100064,100345,102485,102978,105881,106985,107556,106985,105515,104139,100345,,,,,,,,,,,,,,,,,,,,
Car,11,30438,32761,38827,41037,45556,50371,51576,52419,50099,45238,48002,,,,,,,,,,,,,,,,,,,,
Cas,5,8886,6686,4427,3179,746,,,,,,,,,,,,,,,,,,,,,,,,,,
Cen,23,56561,57439,55425,59449,59196,60823,61622,61932,66657,68702,66657,71683,66657,68002,67472,67464,65109,67464,68933,67464,68245,71352,73334,,,,,,,,
Cep,6,116727,106032,105199,109492,112724,116727,,,,,,,,,,,,,,,,,,,,,,,,,
Cet,15,12706,11484,12828,13954,14135,12706,12387,10826,8645,6537,5364,3419,6960,9347,8645,,,,,,,,,,,,,,,,
Cha,6,40702,40888,52595,60000,51839,40702,,,,,,,,,,,,,,,,,,,,,,,,,
Cir,3,74824,71908,75323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnc,6,44066,42911,40526,42911,42806,43103,,,,,,,,,,,,,,,,,,,,,,,,,
Col,8,30277,29807,28199,27628,28328,27628,26634,24659,,,,,,,,,,,,,,,,,,,,,,,
Com,3,64241,64394,60742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrA,6,93174,93825,94114,94160,94005,93542,,,,,,,,,,,,,,,,,,,,,,,,,
CrB,7,78493,78159,77512,76952,76267,75695,76127,,,,,,,,,,,,,,,,,,,,,,,,
Crt,10,58188,57283,55705,54682,53740,55282,55705,55282,55687,56633,,,,,,,,,,,,,,,,,,,,,
Cru,2,62434,59747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,60718,61084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crv,6,59199,59316,59803,60965,61359,59316,,,,,,,,,,,,,,,,,,,,,,,,,
Cyg,11,95947,98110,100453,102488,104732,102488,100453,102098,100453,97165,95853,,,,,,,,,,,,,,,,,,,,
Del,6,101421,101769,101958,102532,102281,101769,,,,,,,,,,,,,,,,,,,,,,,,,
Dor,7,19893,21281,23693,26069,27100,26069,27890,,,,,,,,,,,,,,,,,,,,,,,,
Dra,17,87585,87833,85670,85819,87585,94376,97433,89937,86614,83895,80331,78527,75458,68756,61281,56211,47193,,,,,,,,,,,,,,
Equ,4,104987,105570,104858,104521,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eri,29,23875,22701,22109,21444,19587,18543,17378,16537,13701,12770,12843,14146,15474,16611,17651,18216,18673,21393,20535,20042,17874,16870,15510,12486,12413,11407,10602,9007,7588,,
For,3,14879,13147,9677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gem,25,28734,29655,30343,32246,30883,32246,34693,36366,36366,34693,33018,34693,36046,36962,37826,36962,37740,36962,35550,34088,31681,34088,35550,35350,32362,,,,,,
Gru,11,108085,109111,110997,112122,109268,112122,112623,113638,112623,114421,114131,,,,,,,,,,,,,,,,,,,,
Her,19,83207,84380,87808,86414,87808,84380,81833,81126,79992,81126,81833,81693,80816,81693,83207,84379,86974,87933,88794,,,,,,,,,,,,
Hor,8,13884,14240,12484,12225,12653,13502,19747,19515,,,,,,,,,,,,,,,,,,,,,,,
Hya,18,43234,43109,42313,42402,42799,43234,43813,45336,47431,46390,48356,49841,51069,52943,56343,57936,64962,68895,,,,,,,,,,,,,
Hyi,5,9236,12394,17678,2021,9236,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,8,101772,105319,108431,108870,108431,105319,104085,103227,,,,,,,,,,,,,,,,,,,,,,,
LMi,3,53229,51233,49593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lac,12,109937,109754,111104,111944,111104,110351,111104,111022,110609,110538,111169,111022,,,,,,,,,,,,,,,,,,,
Leo,14,47908,48455,50335,49583,49669,47508,49669,54879,55642,55434,55642,54879,57632,54872,,,,,,,,,,,,,,,,,
Lep,7,23685,25606,25985,24305,25985,27288,28103,,,,,,,,,,,,,,,,,,,,,,,,
Lib,9,77853,76333,74785,72622,73714,74785,73714,76470,76600,,,,,,,,,,,,,,,,,,,,,,
Lup,13,78918,78384,76297,75264,74376,74395,71860,73273,75141,76297,75141,75177,77634,,,,,,,,,,,,,,,,,,
Lyn,8,45860,45688,44700,44248,41075,36145,33449,30060,,,,,,,,,,,,,,,,,,,,,,,
Lyr,6,91262,91971,92420,93194,92791,91971,,,,,,,,,,,,,,,,,,,,,,,,,
Men,4,29271,25918,22871,23467,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mic,4,105382,105140,103738,102831,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon,10,31216,30419,32578,34769,30867,29651,30867,34769,37447,39863,,,,,,,,,,,,,,,,,,,,,
Mus,8,62322,61585,63613,61585,61199,61585,59929,57363,,,,,,,,,,,,,,,,,,,,,,,
Nor,3,80582,80000,78639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct,4,112405,70638,107089,112405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oph,9,86032,83000,80883,79593,79882,81377,84012,86742,86032,,,,,,,,,,,,,,,,,,,,,,
Ori,30,26727,27366,24436,25930,25336,26207,27989,28614,29426,29038,27913,28716,29426,28614,27989,26727,26311,25930,25336,22449,22549,22797,23123,22797,22549,22449,22509,22957,23607,24010,
Pav,12,100751,102395,105858,102395,98495,91792,86929,88866,90098,92609,99240,102395,,,,,,,,,,,,,,,,,,,
Peg,13,109410,112158,113881,677,113881,113963,1067,677,1067,113963,112029,109427,107315,,,,,,,,,,,,,,,,,,
Per,9,14576,14668,15863,14328,15863,17358,18532,18614,18246,,,,,,,,,,,,,,,,,,,,,,
Phe,10,2081,5165,6867,7083,6867,5165,5348,3405,765,2081,,,,,,,,,,,,,,,,,,,,,
Pic,3,32607,27530,27321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsA,11,113368,111954,109789,108661,107608,107380,109285,111188,112948,113246,113368,,,,,,,,,,,,,,,,,,,,
Psc,18,5742,6193,5586,5742,7097,8198,7884,4906,3786,118268,116771,115830,115227,114971,115738,116928,117245,116771,,,,,,,,,,,,,
Pup,10,39757,38170,37229,36917,35264,31685,32768,36377,39429,39757,,,,,,,,,,,,,,,,,,,,,
Pyx,3,42515,42828,43409,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ret,6,19780,19921,18597,18744,17440,19780,,,,,,,,,,,,,,,,,,,,,,,,,
Scl,4,4577,117452,115102,116231,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sco,17,78821,80112,78401,80112,78265,80112,80763,81266,82396,82514,82729,84143,86228,87073,86670,85927,85696,,,,,,,,,,,,,,
Sct,5,92175,91117,90595,91117,90135,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser,5,84880,86263,86565,89962,92951,,,,,,,,,,,,,,,,,,,,,,,,,,
Ser,9,77233,77450,78072,77233,76276,77070,77622,77516,84880,,,,,,,,,,,,,,,,,,,,,,
Sex,3,51437,49641,48437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sge,5,98337,97365,96757,97365,96837,,,,,,,,,,,,,,,,,,,,,,,,,,
Sgr,31,95347,98032,95241,98032,98412,98688,98162,96465,93864,92855,93683,94141,95168,95176,95168,94141,93683,93085,93683,92855,92041,93506,93864,93506,92041,90496,89931,88635,89931,90185,89642
